Id,Bed,Bath,Sqft,Price
1001.00,2.00,2.00,1000.00,275.00
1002.00,2.00,1.00,1000.00,200.00
1003.00,3.00,1.00,1240.00,240.00
1004.00,3.00,1.10,1594.00,318.00
1005.00,4.00,1.00,1395.00,190.00
1006.00,3.00,2.00,1183.00,189.00
1007.00,3.00,3.00,2350.00,467.00
1008.00,4.00,3.00,1698.00,410.00
1009.00,4.00,3.00,2483.00,731.00
1010.00,4.00,2.50,2102.00,684.00
1011.00,3.00,3.00,1900.00,482.00
1012.00,2.00,1.10,974.00,278.00
1013.00,5.00,2.00,1800.00,320.00
1014.00,4.00,1.50,1741.00,230.00
1015.00,4.00,3.00,1302.00,289.00
1016.00,3.00,1.50,1476.00,471.00
1017.00,3.00,1.50,1218.00,538.00
1018.00,4.00,2.00,2340.00,681.00